test_date,train_dates,threshold,test_busts,precision,recall,f1,roc_auc,pr_auc
2000-06-11,10,0.3494262695312501,4,0.3333333333333333,1.0,0.5,0.9722222222222223,0.8303571428571428
2000-06-29,11,0.3664783630371101,10,0.8571428571428571,0.6,0.7058823529411765,0.8600000000000001,0.8066865079365079
2000-07-17,12,0.6298908691406273,4,0.4444444444444444,1.0,0.6153846153846154,0.9930555555555556,0.95
2000-08-04,13,0.7238388061523438,7,0.6666666666666666,0.8571428571428571,0.75,0.8528138528138527,0.861734693877551
2000-08-22,14,0.8517502593994144,8,0.75,0.75,0.75,0.91796875,0.8695454545454545
2000-09-09,15,0.8952630157470703,8,0.5,0.875,0.6363636363636364,0.9609375,0.8873511904761905
2000-09-27,16,0.92650228881836,22,0.85,0.7727272727272727,0.8095238095238095,0.8055555555555556,0.8919557145218898
2000-10-15,17,1.3037204742431645,4,0.1,0.25,0.14285714285714285,0.4375,0.13241918388977214
2000-11-02,18,1.3037204742431645,2,0.2,1.0,0.3333333333333333,1.0,1.0
2000-11-20,19,1.2730046081542972,23,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.8363171355498721,0.9125076212032732
2000-12-08,20,1.641372634887696,0,0.0,0.0,0.0,,
