location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error,event_significant,bust,bust_type,month,season,control_vs_ensemble,relative_spread,ensemble_range_ratio,forecast_intensity
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 15:00:00,228,228,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0014305114746093,-0.0014305114746093,-0.0014305114746093,0.0014305114746093,0.0014305114746093,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 21:00:00,234,234,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 03:00:00,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,-0.0066757202148437,-0.0066757202148437,0.0066757202148437,0.0066757202148437,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 09:00:00,6,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 15:00:00,12,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 21:00:00,18,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 03:00:00,24,24,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0009536743164062,-0.0009536743164062,-0.0009536743164062,0.0009536743164062,0.0009536743164062,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 09:00:00,30,30,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 15:00:00,36,36,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 21:00:00,42,42,45,0.0,0.004,0.0,0.0,0.02,0.02,0.0,0.0,0.004,0.0,0.004,False,0,normal,1,winter,-0.004,0.1923076923076923,0.1923076923076923,0.004
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 03:00:00,48,48,51,0.0,0.038,0.0,0.0,0.18,0.18,0.0,0.0,0.038,0.0,0.038,False,0,normal,2,winter,-0.038,1.3043478260869563,1.3043478260869563,0.038
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 09:00:00,54,54,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,2,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,2,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 21:00:00,66,66,69,0.0,0.01,0.0,0.0,0.05,0.05,0.0,0.0,0.01,0.0,0.01,False,0,normal,2,winter,-0.01,0.4545454545454546,0.4545454545454546,0.01
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 03:00:00,72,72,75,0.0,0.06,0.0,0.0,0.3,0.3,0.0,0.0,0.06,0.0,0.06,False,0,normal,2,winter,-0.06,1.875,1.875,0.06
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 09:00:00,78,78,81,0.0,0.008,0.0,0.0,0.02,0.02,0.0,0.0,0.008,0.0,0.008,False,0,normal,2,winter,-0.008,0.18518518518518517,0.18518518518518517,0.008
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 15:00:00,84,84,87,0.0,0.01,0.0,0.0,0.05,0.05,0.0,0.0,0.01,0.0,0.01,False,0,normal,2,winter,-0.01,0.4545454545454546,0.4545454545454546,0.01
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 21:00:00,90,90,93,0.0,0.392,0.0,0.0,1.94,1.94,0.0972747802734375,-0.0972747802734375,0.2947252197265625,0.0972747802734375,0.2947252197265625,False,0,normal,2,winter,-0.392,3.9430894308943087,3.9430894308943087,0.392
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 03:00:00,96,96,99,0.4,0.084,0.0,0.0,0.4,0.4,0.2322196960449218,0.1677803039550782,-0.1482196960449218,0.1677803039550782,0.1482196960449218,False,0,normal,2,winter,0.316,2.173913043478261,2.173913043478261,0.084
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 09:00:00,102,102,105,0.06,0.012,0.0,0.0,0.06,0.06,0.1759529113769531,-0.1159529113769531,-0.1639529113769531,0.1159529113769531,0.1639529113769531,False,0,normal,2,winter,0.048,0.5357142857142857,0.5357142857142857,0.012
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 15:00:00,108,108,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0338554382324218,-0.0338554382324218,-0.0338554382324218,0.0338554382324218,0.0338554382324218,False,0,normal,2,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 21:00:00,114,114,117,0.22,0.224,0.1,0.0,0.8,0.8,0.1578330993652343,0.0621669006347657,0.0661669006347657,0.0621669006347657,0.0661669006347657,False,0,normal,2,winter,-0.0040000000000000036,2.4691358024691357,2.4691358024691357,0.224
Chennai,13.0827,80.2707,2000-01-30,2000-02-04 03:00:00,120,120,123,0.75,0.19,0.0,0.0,0.75,0.75,0.2942085266113281,0.4557914733886719,-0.1042085266113281,0.4557914733886719,0.1042085266113281,False,0,normal,2,winter,0.56,2.5862068965517238,2.5862068965517238,0.19
Chennai,13.0827,80.2707,2000-01-30,2000-02-04 09:00:00,126,126,129,0.0,0.0,0.0,0.0,0.0,0.0,0.2107620239257812,-0.2107620239257812,-0.2107620239257812,0.2107620239257812,0.2107620239257812,False,0,normal,2,winter,0.0,0.0,0.0,0.0
