location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error,event_significant,bust,bust_type,month,season,control_vs_ensemble,relative_spread,ensemble_range_ratio,forecast_intensity
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 21:00:00,138,138,141,0.0,0.03,0.0,0.0,0.15,0.15,0.0009536743164062,-0.0009536743164062,0.0290463256835937,0.0009536743164062,0.0290463256835937,False,0,normal,1,winter,-0.03,1.1538461538461537,1.1538461538461537,0.03
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 03:00:00,144,144,147,0.0,1.64,0.0,0.0,8.200000000000001,8.200000000000001,0.0,0.0,1.64,0.0,1.64,False,0,normal,1,winter,-1.64,4.71264367816092,4.71264367816092,1.64
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 09:00:00,150,150,153,0.0,0.726,0.0,0.0,3.6,3.6,0.0,0.0,0.726,0.0,0.726,False,0,normal,1,winter,-0.726,4.358353510895884,4.358353510895884,0.726
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 15:00:00,156,156,159,0.0,0.03,0.0,0.0,0.1,0.1,0.0,0.0,0.03,0.0,0.03,False,0,normal,1,winter,-0.03,0.7692307692307693,0.7692307692307693,0.03
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 21:00:00,162,162,165,0.0,0.122,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0009536743164062,-0.0009536743164062,0.1210463256835938,0.0009536743164062,0.1210463256835938,False,0,normal,1,winter,-0.122,2.702702702702703,2.702702702702703,0.122
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 03:00:00,168,168,171,0.0,0.228,0.0,0.0,1.1,1.1,0.00762939453125,-0.00762939453125,0.22037060546875,0.00762939453125,0.22037060546875,False,0,normal,1,winter,-0.228,3.353658536585366,3.353658536585366,0.228
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 09:00:00,174,174,177,0.01,0.124,0.04,0.0,0.52,0.52,0.0028610229492187,0.0071389770507813,0.1211389770507813,0.0071389770507813,0.1211389770507813,False,0,normal,1,winter,-0.114,2.3214285714285716,2.3214285714285716,0.124
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 15:00:00,180,180,183,0.0,0.06,0.0,0.0,0.3,0.3,0.0,0.0,0.06,0.0,0.06,False,0,normal,1,winter,-0.06,1.875,1.875,0.06
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 21:00:00,186,186,189,0.0,0.49,0.0,0.0,2.45,2.45,0.0157356262207031,-0.0157356262207031,0.4742643737792968,0.0157356262207031,0.4742643737792968,False,0,normal,1,winter,-0.49,4.152542372881356,4.152542372881356,0.49
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 03:00:00,192,192,195,0.0,1.862,2.1,0.0,3.71,3.71,0.0147819519042968,-0.0147819519042968,1.8472180480957032,0.0147819519042968,1.8472180480957032,False,0,normal,1,winter,-1.862,1.8909276248725788,1.8909276248725788,1.862
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 09:00:00,198,198,201,0.0,1.644,0.75,0.0,4.67,4.67,0.0715255737304687,-0.0715255737304687,1.5724744262695312,0.0715255737304687,1.5724744262695312,False,0,normal,1,winter,-1.644,2.677752293577982,2.677752293577982,1.644
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 15:00:00,204,204,207,0.0,1.56,0.4,0.0,5.5,5.5,0.0,0.0,1.56,0.0,1.56,False,0,normal,1,winter,-1.56,3.3132530120481927,3.3132530120481927,1.56
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 21:00:00,210,210,213,0.0,0.388,0.02,0.0,1.42,1.42,0.0,0.0,0.388,0.0,0.388,False,0,normal,1,winter,-0.388,2.9098360655737703,2.9098360655737703,0.388
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 03:00:00,216,216,219,0.0,3.296,0.0,0.0,15.78,15.78,1.0390281677246094,-1.0390281677246094,2.2569718322753904,1.0390281677246094,2.2569718322753904,True,0,normal,1,winter,-3.296,4.646643109540636,4.646643109540636,3.296
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 09:00:00,222,222,225,0.0,4.25,0.0,0.0,21.0,21.0,0.2055168151855468,-0.2055168151855468,4.044483184814453,0.2055168151855468,4.044483184814453,False,0,normal,1,winter,-4.25,4.8275862068965525,4.8275862068965525,4.25
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 15:00:00,228,228,231,0.0,2.66,0.0,0.0,13.2,13.2,0.0,0.0,2.66,0.0,2.66,False,0,normal,1,winter,-2.66,4.782608695652173,4.782608695652173,2.66
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 21:00:00,234,234,237,0.0,1.238,0.0,0.0,5.26,5.26,0.0019073486328125,-0.0019073486328125,1.2360926513671875,0.0019073486328125,1.2360926513671875,False,0,normal,1,winter,-1.238,3.9312406576980563,3.9312406576980563,1.238
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 03:00:00,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 09:00:00,6,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,-0.00762939453125,-0.00762939453125,0.00762939453125,0.00762939453125,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 15:00:00,12,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 21:00:00,18,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 03:00:00,24,24,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0162124633789062,-0.0162124633789062,-0.0162124633789062,0.0162124633789062,0.0162124633789062,False,0,normal,1,winter,0.0,0.0,0.0,0.0
