location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-03 21:00:00,66,66,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 03:00:00,72,72,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 09:00:00,78,78,81,0.0,0.004,0.0,0.0,0.02,0.02,0.0,0.0,0.004,0.0,0.004
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 15:00:00,84,84,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-04 21:00:00,90,90,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0810623168945312,-0.0810623168945312,-0.0810623168945312,0.0810623168945312,0.0810623168945312
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 03:00:00,96,96,99,0.0,0.0,0.0,0.0,0.0,0.0,0.1368522644042968,-0.1368522644042968,-0.1368522644042968,0.1368522644042968,0.1368522644042968
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 09:00:00,102,102,105,0.0,0.0,0.0,0.0,0.0,0.0,0.347137451171875,-0.347137451171875,-0.347137451171875,0.347137451171875,0.347137451171875
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 15:00:00,108,108,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0195503234863281,-0.0195503234863281,-0.0195503234863281,0.0195503234863281,0.0195503234863281
Chennai,13.0827,80.2707,2000-01-01,2000-01-05 21:00:00,114,114,117,0.0,0.0,0.0,0.0,0.0,0.0,0.3414154052734375,-0.3414154052734375,-0.3414154052734375,0.3414154052734375,0.3414154052734375
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 03:00:00,120,120,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0872611999511718,-0.0872611999511718,-0.0872611999511718,0.0872611999511718,0.0872611999511718
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 09:00:00,126,126,129,0.0,0.4639999999999999,0.0,0.0,2.32,2.32,0.3180503845214844,-0.3180503845214844,0.14594961547851554,0.3180503845214844,0.14594961547851554
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 15:00:00,132,132,135,0.0,0.098,0.0,0.0,0.49,0.49,0.0,0.0,0.098,0.0,0.098
Chennai,13.0827,80.2707,2000-01-01,2000-01-06 21:00:00,138,138,141,0.0,0.03,0.0,0.0,0.15,0.15,0.0009536743164062,-0.0009536743164062,0.029046325683593797,0.0009536743164062,0.029046325683593797
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 03:00:00,144,144,147,0.0,1.64,0.0,0.0,8.200000000000001,8.200000000000001,0.0,0.0,1.64,0.0,1.64
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 09:00:00,150,150,153,0.0,0.726,0.0,0.0,3.6,3.6,0.0,0.0,0.726,0.0,0.726
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 15:00:00,156,156,159,0.0,0.03,0.0,0.0,0.1,0.1,0.0,0.0,0.03,0.0,0.03
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 21:00:00,162,162,165,0.0,0.122,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0009536743164062,-0.0009536743164062,0.1210463256835938,0.0009536743164062,0.1210463256835938
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 03:00:00,168,168,171,0.0,0.228,0.0,0.0,1.1,1.1,0.00762939453125,-0.00762939453125,0.22037060546875,0.00762939453125,0.22037060546875
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 09:00:00,174,174,177,0.01,0.124,0.04,0.0,0.52,0.52,0.0028610229492187,0.0071389770507813005,0.1211389770507813,0.0071389770507813005,0.1211389770507813
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 15:00:00,180,180,183,0.0,0.06,0.0,0.0,0.3,0.3,0.0,0.0,0.06,0.0,0.06
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 21:00:00,186,186,189,0.0,0.49,0.0,0.0,2.45,2.45,0.0157356262207031,-0.0157356262207031,0.47426437377929687,0.0157356262207031,0.47426437377929687
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 03:00:00,192,192,195,0.0,1.862,2.1,0.0,3.71,3.71,0.0147819519042968,-0.0147819519042968,1.8472180480957032,0.0147819519042968,1.8472180480957032
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 09:00:00,198,198,201,0.0,1.644,0.75,0.0,4.67,4.67,0.0715255737304687,-0.0715255737304687,1.5724744262695312,0.0715255737304687,1.5724744262695312
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 15:00:00,204,204,207,0.0,1.56,0.4,0.0,5.5,5.5,0.0,0.0,1.56,0.0,1.56
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 21:00:00,210,210,213,0.0,0.388,0.02,0.0,1.42,1.42,0.0,0.0,0.388,0.0,0.388
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 03:00:00,216,216,219,0.0,3.296,0.0,0.0,15.78,15.78,1.0390281677246094,-1.0390281677246094,2.2569718322753904,1.0390281677246094,2.2569718322753904
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 09:00:00,222,222,225,0.0,4.25,0.0,0.0,21.0,21.0,0.2055168151855468,-0.2055168151855468,4.044483184814453,0.2055168151855468,4.044483184814453
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 15:00:00,228,228,231,0.0,2.66,0.0,0.0,13.2,13.2,0.0,0.0,2.66,0.0,2.66
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 21:00:00,234,234,237,0.0,1.238,0.0,0.0,5.26,5.26,0.0019073486328125,-0.0019073486328125,1.2360926513671875,0.0019073486328125,1.2360926513671875
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 03:00:00,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 09:00:00,6,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,-0.00762939453125,-0.00762939453125,0.00762939453125,0.00762939453125
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 15:00:00,12,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 21:00:00,18,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 03:00:00,24,24,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0162124633789062,-0.0162124633789062,-0.0162124633789062,0.0162124633789062,0.0162124633789062
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 09:00:00,30,30,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 15:00:00,36,36,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 21:00:00,42,42,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 03:00:00,48,48,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0052452087402343,-0.0052452087402343,-0.0052452087402343,0.0052452087402343,0.0052452087402343
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 09:00:00,54,54,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 21:00:00,66,66,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 03:00:00,72,72,75,0.0,0.0,0.0,0.0,0.0,0.0,0.026702880859375,-0.026702880859375,-0.026702880859375,0.026702880859375,0.026702880859375
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 09:00:00,78,78,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 15:00:00,84,84,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 21:00:00,90,90,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 03:00:00,96,96,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,-0.0069141387939453,-0.0069141387939453,0.0069141387939453,0.0069141387939453
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 09:00:00,102,102,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 15:00:00,108,108,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 21:00:00,114,114,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 03:00:00,120,120,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 09:00:00,126,126,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 15:00:00,132,132,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 21:00:00,138,138,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 03:00:00,144,144,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0004768371582031,-0.0004768371582031,-0.0004768371582031,0.0004768371582031,0.0004768371582031
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 09:00:00,150,150,153,0.0,0.0,0.0,0.0,0.0,0.0,0.003814697265625,-0.003814697265625,-0.003814697265625,0.003814697265625,0.003814697265625
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 15:00:00,156,156,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 21:00:00,162,162,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 03:00:00,168,168,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0324249267578125,-0.0324249267578125,-0.0324249267578125,0.0324249267578125,0.0324249267578125
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 09:00:00,174,174,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 15:00:00,180,180,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 21:00:00,186,186,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0619888305664062,-0.0619888305664062,-0.0619888305664062,0.0619888305664062,0.0619888305664062
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 03:00:00,192,192,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0524520874023437,-0.0524520874023437,-0.0524520874023437,0.0524520874023437,0.0524520874023437
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 09:00:00,198,198,201,0.0,0.004,0.0,0.0,0.02,0.02,0.0,0.0,0.004,0.0,0.004
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 15:00:00,204,204,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 21:00:00,210,210,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 03:00:00,216,216,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 09:00:00,222,222,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 15:00:00,228,228,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0014305114746093,-0.0014305114746093,-0.0014305114746093,0.0014305114746093,0.0014305114746093
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 21:00:00,234,234,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 03:00:00,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,-0.0066757202148437,-0.0066757202148437,0.0066757202148437,0.0066757202148437
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 09:00:00,6,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 15:00:00,12,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
